step,rows_affected,note
drop exact duplicates,212,identical rows removed
drop unparseable dates,0,order_date could not be read
recode negative quantity,191,"flipped sign, marked returned"
impute missing status,125,defaulted to 'completed'
repair price typos,76,value > 3x list price / 10
recover unit_cost,253,joined from product master
recompute discount_pct,432,derived from unit_price
drop out-of-range rows,0,price/quantity outside bounds
flag revenue outliers,603,revenue > 454 EUR (IQR fence)
normalise country labels,6,"trimmed, title-cased, codes expanded"
impute missing age,240,country median
orders with no customer,0,left unmatched
